"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"38","NC_049501.1","DNA","dsDNA","Salmonella phage allotria","Kuttervirus allotria","Kuttervirus","Ackermannviridae",151015
"39","NC_011039.1","DNA","dsDNA","Mycobacterium phage Predator","Predatorvirus predator","Predatorvirus","Unknown",70110
"40","NC_028485.1","RNA","dsRNA","Red clover powdery mildew-associated totivirus 5","Red clover powdery mildew-associated totivirus 5","Unknown","Totiviridae",5056
"41","NC_030948.1","DNA","dsDNA","Ralstonia phage RSP15","Ralstonia phage RSP15","Unknown","Ackermannviridae",167619
"42","NC_038965.1","DNA","ssDNA(+/-)","Tomato chlorotic mottle Guyane virus","Tomato chlorotic mottle Guyane virus","Begomovirus","Geminiviridae",2631
"43","NC_035676.1","DNA","ssDNA(+/-)","Tomato associated geminivirus 1","Tomato associated geminivirus 1","Unknown","Geminiviridae",2611
"44","NC_049364.1","DNA","dsDNA","Lactococcus phage 936 group phage Phi91127","Skunavirus sv91127","Skunavirus","Unknown",31495
"45","NC_014380.1","DNA","ssDNA(+/-)","Melon chlorotic mosaic virus","Melon chlorotic mosaic virus","Begomovirus","Geminiviridae",2628
"46","NC_040690.1","RNA","dsRNA","Salvia hispanica RNA virus 1","Salvia hispanica RNA virus 1","Unknown","Amalgaviridae",3406
"47","NC_002187.1","RNA","ssRNA(+)","Japanese iris necrotic ring virus","Betacarmovirus iridis","Betacarmovirus","Tombusviridae",4014
"48","NC_007017.2","RNA","ssRNA(+)","Pelargonium line pattern virus","Pelarspovirus lineapelargonii","Pelarspovirus","Tombusviridae",3883
"49","NC_007061.1","DNA","dsDNA","Staphylococcus phage 29","Phietavirus pv29","Phietavirus","Unknown",42802
"50","NC_028983.1","DNA","dsDNA","Bacillus phage Shanette","Siminovitchvirus shanette","Siminovitchvirus","Herelleviridae",138877
"51","NC_074280.1","RNA","RNA","ssRNA phage Zoerhiza.1_14","Brikhyavirus terrivicinum","Brikhyavirus","Steitzviridae",3788
"52","NC_048040.1","DNA","dsDNA","Gordonia phage Phistory","Phistoryvirus phistory","Phistoryvirus","Unknown",53085
"53","NC_055619.1","DNA","ssDNA(+)","Sophora yellow stunt virus","Sophora yellow stunt virus","Nanovirus","Nanoviridae",980
"54","NC_040559.1","RNA","ssRNA(+)","Gigaspora margarita mitovirus 3","Duamitovirus gima3","Duamitovirus","Mitoviridae",3387
"55","NC_078926.1","RNA","ssRNA(-)","M'Poko virus","Orthobunyavirus mpokoense","Orthobunyavirus","Peribunyaviridae",4722
"56","NC_019493.1","RNA","dsRNA","Grapevine endophyte alphaendornavirus","Grapevine endophyte alphaendornavirus","Alphaendornavirus","Endornaviridae",12154
"57","NC_076378.1","DNA","ssDNA","Tortoise genomovirus 17","Gemycircularvirus gopha1","Gemycircularvirus","Genomoviridae",2255
"58","NC_048676.1","DNA","dsDNA","Pseudomonas phage SL1","Pbunavirus SL1","Pbunavirus","Unknown",65847
"59","NC_077077.1","DNA","dsDNA","Pyramimonas orientalis virus","Heliosvirus raunefjordenense","Heliosvirus","Allomimiviridae",186217
"60","NC_048827.1","DNA","dsDNA","Vibrio phage vB_VchM_Kuja","Kujavirus kuja","Kujavirus","Ackermannviridae",148180
"61","NC_029077.1","DNA","dsDNA","Mycobacterium phage VohminGhazi","Gladiatorvirus ericB","Gladiatorvirus","Unknown",52155
"62","NC_008028.1","RNA","ssRNA(+)","Daphne mosaic virus","Daphne mosaic virus","Potyvirus","Potyviridae",9548
"63","NC_074485.1","RNA","RNA","ssRNA phage SRR7976301_11","Sdenfavirus asiovicinum","Sdenfavirus","Steitzviridae",4156
"64","NC_019417.1","DNA","dsDNA","Salmonella phage SPN19","Chivirus SPN19","Chivirus","Casjensviridae",59203
"65","NC_032133.1","RNA","RNA","Beihai barnacle virus 13","Beihai barnacle virus 13","Unknown","Unknown",1493
"66","NC_018702.1","RNA","ssRNA(+)","Murine astrovirus","Murine astrovirus","Unknown","Astroviridae",6838
"67","NC_040458.1","RNA","ssRNA(-)","Avalon virus","Orthonairovirus avalonense","Orthonairovirus","Nairoviridae",1645
"68","NC_031271.1","DNA","dsDNA","Salmonella phage BP12B","Zindervirus BP12B","Zindervirus","Autographiviridae",43602
"69","NC_012041.1","DNA","ssDNA(+/-)","Bhendi yellow vein Bhubhaneswar virus","Bhendi yellow vein Bhubhaneswar virus","Begomovirus","Geminiviridae",2757
"70","NC_015503.1","DNA","dsDNA-RT","Banana streak UI virus","Badnavirus zetavirgamusae","Badnavirus","Caulimoviridae",7458
"71","NC_025379.2","RNA","ssRNA(+)","Mamastrovirus 3","Mamastrovirus 3","Mamastrovirus","Astroviridae",6705
"72","NC_008171.1","RNA","dsRNA","Micromonas pusilla reovirus","Micromonas pusilla reovirus","Mimoreovirus","Sedoreoviridae",5792
"73","NC_001396.1","DNA","ssDNA(+)","Xanthomonas phage Cf1c","Coriovirus Cf1c","Coriovirus","Inoviridae",7308
"74","NC_038908.1","DNA","ssDNA(+)","Faba bean yellow leaf virus","Faba bean yellow leaf virus","Nanovirus","Nanoviridae",995
"75","NC_003783.1","RNA","ssRNA(+)","Triatoma virus","Triatovirus triatomae","Triatovirus","Dicistroviridae",9010
"76","NC_021312.1","DNA","dsDNA","Phaeocystis globosa virus","Phaeocystis globosa virus","Prymnesiovirus","Phycodnaviridae",459984
"77","NC_030927.1","DNA","dsDNA","Gordonia phage Splinter","Vendettavirus vendetta","Vendettavirus","Unknown",45858
"78","NC_038486.1","DNA","ssDNA","Pteropus associated gemycircularvirus 3","Gemycircularvirus ptero3","Gemycircularvirus","Genomoviridae",2172
"79","NC_049418.1","DNA","dsDNA","Lactococcus phage LP9404","Skunavirus LP9404","Skunavirus","Unknown",30072
"80","NC_033729.1","RNA","ssRNA(+)","Phomopsis longicolla RNA virus 1","Phomosis penoulivirus","Penoulivirus","Botourmiaviridae",2822
"81","NC_076264.1","DNA","ssDNA(-)","Gyrovirus 11","Gyrovirus myferr1","Gyrovirus","Anelloviridae",1873
"82","NC_018505.1","DNA","dsDNA-RT","Soybean Putnam virus","Caulimovirus glycinis","Caulimovirus","Caulimoviridae",7757
"83","NC_033219.1","RNA","RNA","Hubei picorna-like virus 7","Hubei picorna-like virus 7","Unknown","Unknown",9614
"84","NC_076708.1","DNA","ssDNA","Northern red-backed vole stool-associated circular virus 116","Ringilvirus thingol","Ringilvirus","Vilyaviridae",2122
"85","NC_076566.1","RNA","ssRNA(+)","Sclerotinia sclerotiorum mitovirus 6","Duamitovirus scsc6","Duamitovirus","Mitoviridae",2584
"86","NC_005339.1","RNA","ssRNA(-)","Mossman virus","Narmovirus mossmanense","Narmovirus","Paramyxoviridae",16650
"87","NC_023701.1","DNA","dsDNA","Mycobacterium phage Acadian","Acadianvirus acadian","Acadianvirus","Unknown",69864
"88","NC_074633.1","DNA","dsDNA","Metallosphaera rod-shaped virus 1","Hoswirudivirus MRV1","Hoswirudivirus","Rudiviridae",20269
"89","NC_054722.1","DNA","dsDNA","Mycobacterium phage Sauce","Bixzunavirus sauce","Bixzunavirus","Unknown",156554
"90","NC_038264.1","DNA","dsDNA","Porcine lymphotropic herpesvirus 1","Macavirus suidgamma3","Macavirus","Orthoherpesviridae",73200
"91","NC_009991.1","RNA","ssRNA(+)","Phlox virus B","Phlox virus B","Carlavirus","Betaflexiviridae",9058
"92","NC_042048.1","DNA","dsDNA","Listeria phage LMTA-34","Pecentumvirus LMTA34","Pecentumvirus","Herelleviridae",138036
"93","NC_028046.1","DNA","ssDNA(+/-)","Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]","Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]","Begomovirus","Geminiviridae",2744
"94","NC_002210.1","RNA","ssRNA(-)","Influenza B virus (B/Lee/1940)","Betainfluenzavirus influenzae","Betainfluenzavirus","Orthomyxoviridae",1191
"95","NC_037589.1","RNA","dsRNA","Callinectes sapidus reovirus 1","Callinectes sapidus reovirus 1","Unknown","Unknown",1166
"96","NC_008936.1","DNA","dsDNA","Ichnoviriform fumiferanae","Ichnoviriform fumiferanae","Ichnoviriform","Polydnaviriformidae",2588
"97","NC_032794.1","RNA","RNA","Changjiang picorna-like virus 6","Changjiang picorna-like virus 6","Unknown","Unknown",8489
"98","NC_030890.1","RNA","dsRNA","Arabidopsis halleri partitivirus 1","Arabidopsis halleri partitivirus 1","Unknown","Partitiviridae",1763
"99","NC_027647.1","DNA","ssDNA(+)","Microviridae Fen7918_21","Microviridae Fen7918_21","Unknown","Microviridae",4199
"100","NC_047939.1","DNA","dsDNA","Yersinia phage YpP-Y","Teseptimavirus YpPY","Teseptimavirus","Autographiviridae",37714
"101","NC_007999.1","DNA","dsDNA","Ichnoviriform sonorense","Ichnoviriform sonorense","Ichnoviriform","Polydnaviriformidae",11841
"102","NC_032819.1","RNA","RNA","Hubei toti-like virus 21","Hubei toti-like virus 21","Unknown","Unknown",6659
"103","NC_007754.1","RNA","dsRNA","Peruvian horse sickness virus","Peruvian horse sickness virus","Orbivirus","Sedoreoviridae",1180
"104","NC_032490.1","RNA","ssRNA(+)","Beihai hermit crab virus 4","Paguronivirus 1","Paguronivirus","Euroniviridae",29385
"105","NC_038697.1","RNA","dsRNA","Scheffersomyces segobiensis virus L","Scheffersomyces segobiensis virus L","Totivirus","Totiviridae",4590
"106","NC_047796.1","DNA","dsDNA","Enterococcus phage EFP01","Schiekvirus EFP01","Schiekvirus","Herelleviridae",155053
"107","NC_007154.1","RNA","dsRNA","Fiji disease virus","Fiji disease virus","Fijivirus","Spinareoviridae",3820
"108","NC_032990.1","RNA","RNA","Hubei picorna-like virus 63","Hubei picorna-like virus 63","Unknown","Unknown",8882
"109","NC_032621.1","RNA","RNA","Beihai picorna-like virus 66","Beihai picorna-like virus 66","Unknown","Unknown",9233
"110","NC_032279.1","RNA","ssRNA(-)","Hubei diptera virus 4","Hudivirus muscae","Hudivirus","Phenuiviridae",1236
"111","NC_006313.1","RNA","ssRNA(+/-)","Sabia virus","Mammarenavirus brazilense","Mammarenavirus","Arenaviridae",7133
"112","NC_024150.1","DNA","dsDNA","California sea lion adenovirus 1","Sea lion mastadenovirus A","Mastadenovirus","Adenoviridae",31709
"113","NC_038781.1","RNA","dsRNA","Cryphonectria nitschkei chrysovirus 1","Alphachrysovirus cryphonectriae","Alphachrysovirus","Chrysoviridae",2552
"114","NC_048179.1","DNA","dsDNA","Salmonella phage ZCSE2","Rosemountvirus ZCSE2","Loughboroughvirus","Unknown",53965
"115","NC_028786.1","DNA","dsDNA","Klebsiella phage 1513","Webervirus wv1513","Webervirus","Drexlerviridae",49462
"116","NC_074426.1","RNA","RNA","ssRNA phage Zoerhiza.2_13","Luloavirus edaphocola","Luloavirus","Steitzviridae",3556
"117","NC_025684.1","DNA","ssDNA(+/-)","Po-Circo-like virus 51","Po-Circo-like virus 51","Unknown","Circoviridae",2833
"118","NC_027210.1","RNA","ssRNA(+)","Catharanthus mosaic virus","Catharanthus mosaic virus","Potyvirus","Potyviridae",9575
"119","NC_025346.1","RNA","ssRNA(+)","Rabbit astrovirus TN/2208/2010","Rabbit astrovirus TN/2208/2010","Mamastrovirus","Astroviridae",7353
"120","NC_023428.1","DNA","ssDNA","Dragonfly larvae associated circular virus-2","Dragonfly larvae associated circular virus-2","Unknown","Unknown",2398
"121","NC_021795.1","DNA","dsDNA","Cellulophaga phage phi17:1","Helsingorvirus Cba171","Helsingorvirus","Unknown",38776
"122","NC_011019.1","DNA","dsDNA","Mycobacterium phage KBG","Fromanvirus KBG","Fromanvirus","Unknown",53572
"123","NC_038789.1","RNA","ssRNA(+)","Tetterwort vein chlorosis virus","Tetterwort vein chlorosis virus","Crinivirus","Closteroviridae",8113
"124","NC_052928.1","RNA","ssRNA(-)","Quaranjavirus johnstonense","Quaranjavirus johnstonense","Quaranjavirus","Orthomyxoviridae",1608
"125","NC_023159.1","DNA","ssDNA(+)","Pea necrotic yellow dwarf virus","Pea necrotic yellow dwarf virus","Nanovirus","Nanoviridae",993
"126","NC_012800.1","RNA","ssRNA(+)","Cosavirus A","Cosavirus A","Cosavirus","Picornaviridae",7632
"127","NC_043347.1","DNA","dsDNA","Bracoviriform indiense","Bracoviriform indiense","Bracoviriform","Polydnaviriformidae",13173
"128","NC_022067.1","DNA","dsDNA","Mycobacterium phage Wanda","Mycobacterium phage Wanda","Omegavirus","Unknown",109960
"129","NC_038651.1","RNA","dsRNA","Choristoneura occidentalis cypovirus 16","Cypovirus 16","Cypovirus","Spinareoviridae",1946
"130","NC_019507.1","DNA","dsDNA","Campylobacter phage CP21","Firehammervirus CP21","Firehammervirus","Unknown",182833
"131","NC_076646.1","RNA","ssRNA(+)","Sclerotium rolfsii hypovirus 7","Sclerotium rolfsii hypovirus 7","Hypovirus","Hypoviridae",10961
"132","NC_077109.1","DNA","ssDNA(+/-)","Wolvfec circovius","Wolvfec circovius","Circovirus","Circoviridae",1967
"133","NC_029129.1","RNA","ssRNA(+/-)","Adana virus","Phlebovirus adanaense","Phlebovirus","Phenuiviridae",1755
"134","NC_018837.1","DNA","dsDNA","Pectobacterium phage My1","Myunavirus My1","Myunavirus","Demerecviridae",122024
"135","NC_032211.1","RNA","RNA","Hubei myriapoda virus 2","Hubei myriapoda virus 2","Unknown","Unknown",11177
"136","NC_076149.1","DNA","ssDNA","Tomato leaf curl Togo betasatellite-[Togo:2006]","Tomato leaf curl Togo betasatellite-[Togo:2006]","Betasatellite","Tolecusatellitidae",1399
"137","NC_039058.1","DNA","ssDNA","Camel associated drosmacovirus 2","Camel associated drosmacovirus 2","Drosmacovirus","Smacoviridae",2580
"138","NC_049847.1","DNA","dsDNA","Klebsiella phage Sin4","Webervirus sin4","Webervirus","Drexlerviridae",49916
"139","NC_074077.1","RNA","ssRNA(+)","ssRNA phage Gerhypos.4_2","Psehatovirus edaphovivens","Psehatovirus","Fiersviridae",4699
"140","NC_002816.1","DNA","dsDNA","Cydia pomonella granulovirus","Betabaculovirus cypomonellae","Betabaculovirus","Baculoviridae",123500
"141","NC_040348.1","DNA","ssDNA","Lepus americanus faeces associated genomovirus SHP111","Lepus americanus faeces associated genomovirus SHP111","Unknown","Genomoviridae",2134
"142","NC_022065.1","DNA","dsDNA","Mycobacterium phage Contagion","Mycobacterium phage Contagion","Kostyavirus","Unknown",74533
"143","NC_024501.1","RNA","ssRNA(+)","Gentian ovary ringspot virus","Gentian ovary ringspot virus","Goravirus","Virgaviridae",5519
"144","NC_026927.1","DNA","dsDNA","Synechococcus phage ACG-2014f","Atlauavirus tusconc8","Atlauavirus","Kyanoviridae",228143
"145","NC_020499.1","DNA","ssDNA(+/-)","Canine bocavirus 1","Bocaparvovirus carnivoran2","Bocaparvovirus","Parvoviridae",5413
"146","NC_079055.1","RNA","ssRNA(+)","Codonopsis torradovirus A","Codonopsis torradovirus A","Torradovirus","Secoviridae",6922
"147","NC_021244.1","RNA","ssRNA(+/-)","Lone Star virus","Bandavirus amblyommae","Bandavirus","Phenuiviridae",1876
"148","NC_028388.1","RNA","ssRNA(+)","Wuhan aphid virus 1","Wuhan aphid virus 1","Unknown","Unknown",3156
"149","NC_076218.1","RNA","ssRNA(+)","tropivirus B1","Tropivirus B","Tropivirus","Picornaviridae",8343
"150","NC_073848.1","RNA","RNA","ssRNA phage SRR6960549_2","Whodehavirus pelovicinum","Whodehavirus","Atkinsviridae",4420
"151","NC_032762.1","RNA","RNA","Shahe narna-like virus 5","Shahe narna-like virus 5","Unknown","Unknown",1684
"152","NC_027923.1","DNA","dsDNA","Perigonia lusca single nucleopolyhedrovirus","Alphabaculovirus peluscae","Alphabaculovirus","Baculoviridae",132831
"153","NC_001350.1","DNA","dsDNA","Saimiriine gammaherpesvirus 2","Rhadinovirus saimiriinegamma2","Rhadinovirus","Orthoherpesviridae",112930
"154","NC_021924.1","DNA","dsDNA","Choristoneura rosaceana nucleopolyhedrovirus","Alphabaculovirus chorosaceanae","Alphabaculovirus","Baculoviridae",129052
"155","NC_014793.1","RNA","ssRNA(+)","Mud crab virus","Aparavirus cancerluti","Aparavirus","Dicistroviridae",10436
"156","NC_034488.1","RNA","ssRNA(-)","Oriboca virus","Orthobunyavirus oribocaense","Orthobunyavirus","Peribunyaviridae",4332
"157","NC_007588.1","RNA","dsRNA","Chum salmon reovirus CS","Aquareovirus A","Aquareovirus","Spinareoviridae",1317
"158","NC_075432.1","DNA","ssDNA(+/-)","Rice latent virus 1","Rice latent virus 1","Mastrevirus","Geminiviridae",2756
"159","NC_077121.1","RNA","ssRNA(-)","Hangzhou eysarcoris guttigerus lispivirus 1","Hangzhou eysarcoris guttigerus lispivirus 1","Unknown","Lispiviridae",7584
"160","NC_076477.1","DNA","ssDNA","Artemisia carvifolia genomoviridae","Gemyduguivirus arteca1","Gemyduguivirus","Genomoviridae",2198
"161","NC_030864.1","RNA","ssRNA(+)","Fusarium poae mitovirus 4","Duamitovirus fupo4","Duamitovirus","Mitoviridae",2387
"162","NC_054934.1","DNA","dsDNA","Escherichia phage teqskov","Tequatrovirus teqskov","Tequatrovirus","Straboviridae",165017
"163","NC_020853.1","DNA","dsDNA","Loktanella phage pCB2051-A","Broinstvirus pCB2051A","Broinstvirus","Casjensviridae",56958
"164","NC_007902.1","DNA","dsDNA","Sodalis phage phiSG1","Sodalis phage phiSG1","Unknown","Unknown",52162
"165","NC_023502.1","DNA","dsDNA","Rhizobium phage vB_RleS_L338C","Rhizobium phage vB_RleS_L338C","Unknown","Unknown",109558
"166","NC_033167.1","RNA","RNA","Beihai zhaovirus-like virus 3","Beihai zhaovirus-like virus 3","Unknown","Unknown",5448
"167","NC_034974.1","RNA","ssRNA(+)","Mamastrovirus 2","Mamastrovirus 2","Mamastrovirus","Astroviridae",6347
"168","NC_006999.2","RNA","ssRNA(+)","Cassia yellow blotch virus","Cassia yellow blotch virus","Bromovirus","Bromoviridae",3176
"169","NC_006963.2","RNA","ssRNA(+)","Blackberry yellow vein-associated virus","Blackberry yellow vein-associated virus","Crinivirus","Closteroviridae",7916
"170","NC_038678.1","DNA","ssDNA","Okra leaf curl Oman betasatellite","Okra leaf curl Oman betasatellite","Betasatellite","Tolecusatellitidae",1351
"171","NC_004010.1","RNA","ssRNA(+)","Potato virus V","Potato virus V","Potyvirus","Potyviridae",9848
"172","NC_038659.1","RNA","dsRNA","Pulau reovirus","Nelson Bay orthoreovirus","Orthoreovirus","Spinareoviridae",1322
"173","NC_032597.1","RNA","RNA","Beihai picorna-like virus 9","Beihai picorna-like virus 9","Unknown","Unknown",8677
"174","NC_076859.1","RNA","ssRNA(+)","Ceratobasidium mitovirus 1","Duamitovirus cesp1","Duamitovirus","Mitoviridae",4501
"175","NC_042332.1","DNA","dsDNA","Mycobacterium phage JAWS","Anayavirus JAWS","Anayavirus","Unknown",59749
"176","NC_038726.1","RNA","ssRNA(-)","Catu virus","Orthobunyavirus catuense","Orthobunyavirus","Peribunyaviridae",807
"177","NC_034490.1","RNA","ssRNA(-)","Orthobunyavirus bwambaense","Orthobunyavirus bwambaense","Orthobunyavirus","Peribunyaviridae",4557
"178","NC_026438.1","RNA","ssRNA(-)","Influenza A virus (A/California/07/2009(H1N1))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",2280
"179","NC_078130.1","RNA","ssRNA(-)","Kupe virus","Orthonairovirus amblyommae","Orthonairovirus","Nairoviridae",12330
"180","NC_001648.1","DNA","dsDNA-RT","Cassava vein mosaic virus","Cavemovirus venamanihotis","Cavemovirus","Caulimoviridae",8159
"181","NC_003609.1","DNA","ssDNA(+/-)","Honeysuckle yellow vein mosaic virus","Honeysuckle yellow vein mosaic virus","Begomovirus","Geminiviridae",2757
"182","NC_032423.1","RNA","ssRNA(+)","Bastrovirus/VietNam/Porcine/17489_85","Bastrovirus/VietNam/Porcine/17489_85","Unknown","Astroviridae",6009
"183","NC_028377.1","RNA","ssRNA(+)","Wenling shark virus","Wenling shark virus","Hepacivirus","Flaviviridae",9653
"184","NC_043213.1","RNA","ssRNA(+)","Equine torovirus","Equine torovirus","Torovirus","Tobaniviridae",14531
"185","NC_055599.1","RNA","ssRNA(+)","Malus domestica virus A","Malus domestica virus A","Velarivirus","Closteroviridae",17003
"186","NC_003830.1","DNA","ssDNA(+/-)","Chino del tomate virus","Chino del tomate virus","Begomovirus","Geminiviridae",2634
"187","NC_074269.1","RNA","RNA","ssRNA phage Gerhypos.4_55","Bahnicevirus tellurihabitans","Bahnicevirus","Steitzviridae",4001
"188","NC_022916.1","DNA","dsDNA","Burkholderia phage JG068","Mguuvirus JG068","Mguuvirus","Autographiviridae",41604
"189","NC_031940.1","DNA","dsDNA","Salmonella phage 118970_sal3","Salmonella phage 118970_sal3","Unknown","Unknown",77375
"190","NC_043612.1","RNA","ssRNA(-)","Enseada virus","Orthobunyavirus enseadaense","Orthobunyavirus","Peribunyaviridae",4693
"191","NC_040423.1","RNA","RNA","Penicillium digitatum polymycoviruses 1","Penicillium digitatum polymycovirus 1","Polymycovirus","Polymycoviridae",2016
"192","NC_031938.1","DNA","dsDNA","Flavobacterium phage Fpv6","Flavobacterium phage Fpv6","Unknown","Unknown",42820
"193","NC_074452.1","RNA","RNA","ssRNA phage SRR5467091_14","Podtsbuvirus caenenecus","Podtsbuvirus","Steitzviridae",3937
"194","NC_076186.1","RNA","ssRNA(-)","Rhabdoviridae sp.","Rhabdoviridae sp.","Unknown","Rhabdoviridae",10866
"195","NC_023710.1","DNA","dsDNA","Mycobacterium phage RidgeCB","Fromanvirus ridgecb","Fromanvirus","Unknown",50844
"196","NC_055370.1","RNA","RNA","Silverwater virus","Uukuvirus silverwaterense","Uukuvirus","Phenuiviridae",6412
"197","NC_002037.1","RNA","ssRNA(+)","Black beetle virus","Black beetle virus","Alphanodavirus","Nodaviridae",1399
"198","NC_008206.2","DNA","dsDNA","Mycobacterium phage Wildcat","Mycobacterium virus Wildcat","Wildcatvirus","Vilmaviridae",78296
"199","NC_077177.1","DNA","ssDNA","Avonheates virus SG_924","Avonheates virus SG_924","Unknown","Bacilladnaviridae",4518
"200","NC_026601.1","DNA","dsDNA","Pseudomonas phage vB_PaeS_PAO1_Ab30","Pseudomonas phage vB_PaeS_PAO1_Ab30","Casadabanvirus","Unknown",37238
"201","NC_077086.1","DNA","ssDNA(+/-)","Bat associated cyclovirus","Bat associated cyclovirus","Cyclovirus","Circoviridae",1822
"202","NC_021471.1","DNA","dsDNA","Haloarcula sinaiiensis tailed virus 1","Lonfivirus HSTV1","Lonfivirus","Shortaselviridae",32189
"203","NC_079132.1","RNA","ssRNA(-)","Hardyhead chuvirus","Hardyhead chuvirus","Unknown","Chuviridae",1566
