"","Id","molecule","Molecule_type","Organism_Name","Species","Genus","Family","Length"
"38","NC_033729.1","RNA","ssRNA(+)","Phomopsis longicolla RNA virus 1","Phomosis penoulivirus","Penoulivirus","Botourmiaviridae",2822
"39","NC_033219.1","RNA","RNA","Hubei picorna-like virus 7","Hubei picorna-like virus 7","Unknown","Unknown",9614
"40","NC_076566.1","RNA","ssRNA(+)","Sclerotinia sclerotiorum mitovirus 6","Duamitovirus scsc6","Duamitovirus","Mitoviridae",2584
"41","NC_005339.1","RNA","ssRNA(-)","Mossman virus","Narmovirus mossmanense","Narmovirus","Paramyxoviridae",16650
"42","NC_009991.1","RNA","ssRNA(+)","Phlox virus B","Phlox virus B","Carlavirus","Betaflexiviridae",9058
"43","NC_002210.1","RNA","ssRNA(-)","Influenza B virus (B/Lee/1940)","Betainfluenzavirus influenzae","Betainfluenzavirus","Orthomyxoviridae",1191
"44","NC_037589.1","RNA","dsRNA","Callinectes sapidus reovirus 1","Callinectes sapidus reovirus 1","Unknown","Unknown",1166
"45","NC_032794.1","RNA","RNA","Changjiang picorna-like virus 6","Changjiang picorna-like virus 6","Unknown","Unknown",8489
"46","NC_030890.1","RNA","dsRNA","Arabidopsis halleri partitivirus 1","Arabidopsis halleri partitivirus 1","Unknown","Partitiviridae",1763
"47","NC_032819.1","RNA","RNA","Hubei toti-like virus 21","Hubei toti-like virus 21","Unknown","Unknown",6659
"48","NC_007754.1","RNA","dsRNA","Peruvian horse sickness virus","Peruvian horse sickness virus","Orbivirus","Sedoreoviridae",1180
"49","NC_032490.1","RNA","ssRNA(+)","Beihai hermit crab virus 4","Paguronivirus 1","Paguronivirus","Euroniviridae",29385
"50","NC_038697.1","RNA","dsRNA","Scheffersomyces segobiensis virus L","Scheffersomyces segobiensis virus L","Totivirus","Totiviridae",4590
"51","NC_007154.1","RNA","dsRNA","Fiji disease virus","Fiji disease virus","Fijivirus","Spinareoviridae",3820
"52","NC_032990.1","RNA","RNA","Hubei picorna-like virus 63","Hubei picorna-like virus 63","Unknown","Unknown",8882
"53","NC_032621.1","RNA","RNA","Beihai picorna-like virus 66","Beihai picorna-like virus 66","Unknown","Unknown",9233
"54","NC_032279.1","RNA","ssRNA(-)","Hubei diptera virus 4","Hudivirus muscae","Hudivirus","Phenuiviridae",1236
"55","NC_006313.1","RNA","ssRNA(+/-)","Sabia virus","Mammarenavirus brazilense","Mammarenavirus","Arenaviridae",7133
"56","NC_038781.1","RNA","dsRNA","Cryphonectria nitschkei chrysovirus 1","Alphachrysovirus cryphonectriae","Alphachrysovirus","Chrysoviridae",2552
"57","NC_074426.1","RNA","RNA","ssRNA phage Zoerhiza.2_13","Luloavirus edaphocola","Luloavirus","Steitzviridae",3556
"58","NC_027210.1","RNA","ssRNA(+)","Catharanthus mosaic virus","Catharanthus mosaic virus","Potyvirus","Potyviridae",9575
"59","NC_025346.1","RNA","ssRNA(+)","Rabbit astrovirus TN/2208/2010","Rabbit astrovirus TN/2208/2010","Mamastrovirus","Astroviridae",7353
"60","NC_038789.1","RNA","ssRNA(+)","Tetterwort vein chlorosis virus","Tetterwort vein chlorosis virus","Crinivirus","Closteroviridae",8113
"61","NC_052928.1","RNA","ssRNA(-)","Quaranjavirus johnstonense","Quaranjavirus johnstonense","Quaranjavirus","Orthomyxoviridae",1608
"62","NC_012800.1","RNA","ssRNA(+)","Cosavirus A","Cosavirus A","Cosavirus","Picornaviridae",7632
"63","NC_038651.1","RNA","dsRNA","Choristoneura occidentalis cypovirus 16","Cypovirus 16","Cypovirus","Spinareoviridae",1946
"64","NC_076646.1","RNA","ssRNA(+)","Sclerotium rolfsii hypovirus 7","Sclerotium rolfsii hypovirus 7","Hypovirus","Hypoviridae",10961
"65","NC_029129.1","RNA","ssRNA(+/-)","Adana virus","Phlebovirus adanaense","Phlebovirus","Phenuiviridae",1755
"66","NC_032211.1","RNA","RNA","Hubei myriapoda virus 2","Hubei myriapoda virus 2","Unknown","Unknown",11177
"67","NC_074077.1","RNA","ssRNA(+)","ssRNA phage Gerhypos.4_2","Psehatovirus edaphovivens","Psehatovirus","Fiersviridae",4699
"68","NC_024501.1","RNA","ssRNA(+)","Gentian ovary ringspot virus","Gentian ovary ringspot virus","Goravirus","Virgaviridae",5519
"69","NC_079055.1","RNA","ssRNA(+)","Codonopsis torradovirus A","Codonopsis torradovirus A","Torradovirus","Secoviridae",6922
"70","NC_021244.1","RNA","ssRNA(+/-)","Lone Star virus","Bandavirus amblyommae","Bandavirus","Phenuiviridae",1876
"71","NC_028388.1","RNA","ssRNA(+)","Wuhan aphid virus 1","Wuhan aphid virus 1","Unknown","Unknown",3156
"72","NC_076218.1","RNA","ssRNA(+)","tropivirus B1","Tropivirus B","Tropivirus","Picornaviridae",8343
"73","NC_073848.1","RNA","RNA","ssRNA phage SRR6960549_2","Whodehavirus pelovicinum","Whodehavirus","Atkinsviridae",4420
"74","NC_032762.1","RNA","RNA","Shahe narna-like virus 5","Shahe narna-like virus 5","Unknown","Unknown",1684
"75","NC_014793.1","RNA","ssRNA(+)","Mud crab virus","Aparavirus cancerluti","Aparavirus","Dicistroviridae",10436
"76","NC_034488.1","RNA","ssRNA(-)","Oriboca virus","Orthobunyavirus oribocaense","Orthobunyavirus","Peribunyaviridae",4332
"77","NC_007588.1","RNA","dsRNA","Chum salmon reovirus CS","Aquareovirus A","Aquareovirus","Spinareoviridae",1317
"78","NC_077121.1","RNA","ssRNA(-)","Hangzhou eysarcoris guttigerus lispivirus 1","Hangzhou eysarcoris guttigerus lispivirus 1","Unknown","Lispiviridae",7584
"79","NC_030864.1","RNA","ssRNA(+)","Fusarium poae mitovirus 4","Duamitovirus fupo4","Duamitovirus","Mitoviridae",2387
"80","NC_033167.1","RNA","RNA","Beihai zhaovirus-like virus 3","Beihai zhaovirus-like virus 3","Unknown","Unknown",5448
"81","NC_034974.1","RNA","ssRNA(+)","Mamastrovirus 2","Mamastrovirus 2","Mamastrovirus","Astroviridae",6347
"82","NC_006999.2","RNA","ssRNA(+)","Cassia yellow blotch virus","Cassia yellow blotch virus","Bromovirus","Bromoviridae",3176
"83","NC_006963.2","RNA","ssRNA(+)","Blackberry yellow vein-associated virus","Blackberry yellow vein-associated virus","Crinivirus","Closteroviridae",7916
"84","NC_004010.1","RNA","ssRNA(+)","Potato virus V","Potato virus V","Potyvirus","Potyviridae",9848
"85","NC_038659.1","RNA","dsRNA","Pulau reovirus","Nelson Bay orthoreovirus","Orthoreovirus","Spinareoviridae",1322
"86","NC_032597.1","RNA","RNA","Beihai picorna-like virus 9","Beihai picorna-like virus 9","Unknown","Unknown",8677
"87","NC_076859.1","RNA","ssRNA(+)","Ceratobasidium mitovirus 1","Duamitovirus cesp1","Duamitovirus","Mitoviridae",4501
"88","NC_038726.1","RNA","ssRNA(-)","Catu virus","Orthobunyavirus catuense","Orthobunyavirus","Peribunyaviridae",807
"89","NC_034490.1","RNA","ssRNA(-)","Orthobunyavirus bwambaense","Orthobunyavirus bwambaense","Orthobunyavirus","Peribunyaviridae",4557
"90","NC_026438.1","RNA","ssRNA(-)","Influenza A virus (A/California/07/2009(H1N1))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",2280
"91","NC_078130.1","RNA","ssRNA(-)","Kupe virus","Orthonairovirus amblyommae","Orthonairovirus","Nairoviridae",12330
"92","NC_032423.1","RNA","ssRNA(+)","Bastrovirus/VietNam/Porcine/17489_85","Bastrovirus/VietNam/Porcine/17489_85","Unknown","Astroviridae",6009
"93","NC_028377.1","RNA","ssRNA(+)","Wenling shark virus","Wenling shark virus","Hepacivirus","Flaviviridae",9653
"94","NC_043213.1","RNA","ssRNA(+)","Equine torovirus","Equine torovirus","Torovirus","Tobaniviridae",14531
"95","NC_055599.1","RNA","ssRNA(+)","Malus domestica virus A","Malus domestica virus A","Velarivirus","Closteroviridae",17003
"96","NC_074269.1","RNA","RNA","ssRNA phage Gerhypos.4_55","Bahnicevirus tellurihabitans","Bahnicevirus","Steitzviridae",4001
"97","NC_043612.1","RNA","ssRNA(-)","Enseada virus","Orthobunyavirus enseadaense","Orthobunyavirus","Peribunyaviridae",4693
"98","NC_040423.1","RNA","RNA","Penicillium digitatum polymycoviruses 1","Penicillium digitatum polymycovirus 1","Polymycovirus","Polymycoviridae",2016
"99","NC_074452.1","RNA","RNA","ssRNA phage SRR5467091_14","Podtsbuvirus caenenecus","Podtsbuvirus","Steitzviridae",3937
"100","NC_076186.1","RNA","ssRNA(-)","Rhabdoviridae sp.","Rhabdoviridae sp.","Unknown","Rhabdoviridae",10866
"101","NC_055370.1","RNA","RNA","Silverwater virus","Uukuvirus silverwaterense","Uukuvirus","Phenuiviridae",6412
"102","NC_002037.1","RNA","ssRNA(+)","Black beetle virus","Black beetle virus","Alphanodavirus","Nodaviridae",1399
"103","NC_079132.1","RNA","ssRNA(-)","Hardyhead chuvirus","Hardyhead chuvirus","Unknown","Chuviridae",1566
"104","NC_025480.2","RNA","ssRNA(+)","Carrot torradovirus 1","Torradovirus carotae","Torradovirus","Secoviridae",4995
"105","NC_076616.1","RNA","ssRNA(+)","Entoleuca gammaflexivirus 2","Xylavirus EntGFV-2","Xylavirus","Gammaflexiviridae",7321
"106","NC_003540.1","RNA","ssRNA","Chrysanthemum chlorotic mottle viroid","Chrysanthemum chlorotic mottle viroid","Pelamoviroid","Avsunviroidae",399
"107","NC_076000.1","RNA","ssRNA(-)","Black currant nucleorhabdovirus 1","Betanucleorhabdovirus ribes","Betanucleorhabdovirus","Rhabdoviridae",14432
"108","NC_011065.1","RNA","ssRNA(+)","Epirus cherry virus","Epirus cherry virus","Ourmiavirus","Botourmiaviridae",2769
"109","NC_032185.1","RNA","RNA","Beihai noda-like virus 29","Beihai noda-like virus 29","Unknown","Unknown",3168
"110","NC_074272.1","RNA","RNA","ssRNA phage Zoerhiza.2_25","Bahnicevirus terradaptatum","Bahnicevirus","Steitzviridae",3936
"111","NC_022611.1","RNA","ssRNA(+)","Halyomorpha halys virus","Halyomorpha halys virus","Unknown","Iflaviridae",9271
"112","NC_043510.1","RNA","ssRNA(+/-)","Mukawa virus","Phlebovirus mukawaense","Phlebovirus","Phenuiviridae",6443
"113","NC_078373.1","RNA","ssRNA(-)","Perilla mosaic virus","Emaravirus perillae","Emaravirus","Fimoviridae",1128
"114","NC_073792.1","RNA","RNA","ssRNA phage SRR7976357_3","Ichonovirus limivicinum","Ichonovirus","Atkinsviridae",3596
"115","NC_007673.1","RNA","dsRNA","Aedes pseudoscutellaris reovirus","Aedes pseudoscutellaris reovirus","Dinovernavirus","Spinareoviridae",1151
"116","NC_074303.1","RNA","RNA","ssRNA phage Gephyllon.3_14","Gredihovirus arvihabitans","Gredihovirus","Steitzviridae",4292
"117","NC_079061.1","RNA","ssRNA(+)","Stenotaphrum nepovirus","Stenotaphrum nepovirus","Nepovirus","Secoviridae",7120
"118","NC_040661.1","RNA","ssRNA(+)","Diatom colony associated ssRNA virus 2","Diatom colony associated ssRNA virus 2","Unknown","Narnaviridae",4586
"119","NC_003539.1","RNA","ssRNA","Citrus bark cracking viroid","Citrus bark cracking viroid","Cocadviroid","Pospiviroidae",284
"120","NC_074589.1","RNA","RNA","ssRNA phage Gephyllon.2_9","Gredihovirus arvicola","Gredihovirus","Steitzviridae",4243
"121","NC_010667.1","RNA","dsRNA","Cypovirus 5","Cypovirus 5","Cypovirus","Spinareoviridae",3303
"122","NC_003833.1","RNA","ssRNA(+)","Tulare apple mosaic virus","Tulare apple mosaic virus","Ilarvirus","Bromoviridae",3459
"123","NC_038754.1","RNA","ssRNA(-)","Tenuivirus zeae","Tenuivirus zeae","Tenuivirus","Phenuiviridae",2357
"124","NC_003628.1","RNA","ssRNA(+)","Parsnip yellow fleck virus","Sequivirus pastinacae","Sequivirus","Secoviridae",9871
"125","NC_079030.1","RNA","ssRNA(-)","Botambi virus","Orthobunyavirus botambiense","Orthobunyavirus","Peribunyaviridae",1129
"126","NC_074249.1","RNA","RNA","ssRNA phage Gerhypos.3_10","Bahnicevirus geoadaptatum","Bahnicevirus","Steitzviridae",3865
"127","NC_004908.1","RNA","ssRNA(-)","Influenza A virus (A/Hong Kong/1073/99(H9N2))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",1714
"128","NC_003724.1","RNA","ssRNA(+)","Potato mop-top virus","Potato mop-top virus","Pomovirus","Virgaviridae",3134
"129","NC_023685.1","RNA","dsRNA","Rhizoctonia solani dsRNA virus 2","Rhizoctonia solani dsRNA virus 2","Unknown","Partitiviridae",1810
"130","NC_076553.1","RNA","ssRNA(+)","Tuber excavatum mitovirus","Triamitovirus tuex1","Triamitovirus","Mitoviridae",3305
"131","NC_032828.1","RNA","RNA","Sanxia water strider virus 13","Sanxia water strider virus 13","Unknown","Unknown",2308
"132","NC_040422.1","RNA","RNA","Penicillium digitatum polymycoviruses 1","Penicillium digitatum polymycovirus 1","Polymycovirus","Polymycoviridae",2382
"133","NC_033322.1","RNA","RNA","Changping earthworm virus 2","Changping earthworm virus 2","Unknown","Unknown",1271
"134","NC_032536.1","RNA","RNA","Beihai sea slater virus 3","Beihai sea slater virus 3","Unknown","Unknown",6969
"135","NC_002634.1","RNA","ssRNA(+)","Soybean mosaic virus","Soybean mosaic virus","Potyvirus","Potyviridae",9588
"136","NC_026281.1","RNA","ssRNA(-)","Maprik virus","Orthobunyavirus maprikense","Orthobunyavirus","Peribunyaviridae",6843
"137","NC_035484.1","RNA","ssRNA(+/-)","Tomato chlorotic spot virus","Orthotospovirus tomatoflavi","Orthotospovirus","Tospoviridae",3311
"138","NC_027817.1","RNA","ssRNA(+)","Parramatta River virus","Parramatta River virus","Flavivirus","Flaviviridae",10893
"139","NC_015940.1","RNA","ssRNA(+)","Bat picornavirus 1","Bat picornavirus 1","Unknown","Picornaviridae",7753
"140","NC_074340.1","RNA","RNA","ssRNA phage Gerhypos.4_40","Gredihovirus tellurivicinum","Gredihovirus","Steitzviridae",3786
"141","NC_077834.1","RNA","ssRNA(-)","Manzanilla virus","Orthobunyavirus manzanillaense","Orthobunyavirus","Peribunyaviridae",4516
"142","NC_074772.1","RNA","ssRNA(-)","Murine orthopneumovirus","Orthopneumovirus muris","Orthopneumovirus","Pneumoviridae",14886
"143","NC_076679.1","RNA","ssRNA(+)","Rhizoctonia solani ourmia-like virus 4","Rhizoulivirus gammarhizoctoniae","Rhizoulivirus","Botourmiaviridae",4557
"144","NC_076926.1","RNA","ssRNA(-)","Hymenopteran rhabdo-related virus","Hymenopteran rhabdo-related virus","Unknown","Rhabdoviridae",13158
"145","NC_078391.1","RNA","ssRNA(-)","Jujube yellow mottle-associated virus","Emaravirus ziziphi","Emaravirus","Fimoviridae",2233
"146","NC_028399.1","RNA","ssRNA(+)","Wuhan flea virus","Wuhan flea virus","Unknown","Unknown",2863
"147","NC_055277.1","RNA","RNA","Fusarium redolens polymycovirus 1","Fusarium redolens polymycovirus 1","Polymycovirus","Polymycoviridae",1298
"148","NC_034530.1","RNA","ssRNA(-)","Marco virus","Hapavirus marco","Hapavirus","Rhabdoviridae",13294
"149","NC_016081.1","RNA","ssRNA(+)","Grapevine leafroll-associated virus 5","Grapevine leafroll-associated virus 4","Ampelovirus","Closteroviridae",13384
"150","NC_055145.1","RNA","ssRNA(+)","Sclerotinia sclerotiorum ourmia-like virus 2","Sclerotinia botoulivirus 2","Botoulivirus","Botourmiaviridae",2333
"151","NC_040387.1","RNA","dsRNA","Pythium nunn virus 1","Pythium nunn virus 1","Gammapartitivirus","Partitiviridae",1707
"152","NC_033770.1","RNA","dsRNA","Spinach cryptic virus 1","Spinach cryptic virus 1","Unknown","Partitiviridae",1966
"153","NC_033107.1","RNA","RNA","Wenzhou picorna-like virus 43","Wenzhou picorna-like virus 43","Unknown","Unknown",7396
"154","NC_038669.1","RNA","ssRNA-RT","Puma lentivirus 14","Puma lentivirus","Lentivirus","Retroviridae",9100
"155","NC_076392.1","RNA","ssRNA(-)","Alternaria tenuissima negative-stranded RNA virus 1","Sclerotimonavirus alternariae","Sclerotimonavirus","Mymonaviridae",8904
"156","NC_006004.1","RNA","dsRNA","St Croix River virus","St Croix River virus","Orbivirus","Sedoreoviridae",1256
"157","NC_012936.1","RNA","ssRNA(+)","Rat coronavirus Parker","Murine coronavirus","Betacoronavirus","Coronaviridae",31250
"158","NC_026431.1","RNA","ssRNA(-)","Influenza A virus (A/California/07/2009(H1N1))","Alphainfluenzavirus influenzae","Alphainfluenzavirus","Orthomyxoviridae",982
"159","NC_074080.1","RNA","ssRNA(+)","ssRNA phage SRR7473382_1","Pudlivirus limivicinum","Pudlivirus","Fiersviridae",3670
"160","NC_033428.1","RNA","RNA","Wenzhou yanvirus-like virus 1","Wenzhou yanvirus-like virus 1","Unknown","Unknown",6003
"161","NC_005166.1","RNA","dsRNA","Aquareovirus C","Aquareovirus C","Aquareovirus","Spinareoviridae",3949
"162","NC_020447.1","RNA","dsRNA","Melaka orthoreovirus","Pteropine orthoreovirus","Orthoreovirus","Spinareoviridae",3833
"163","NC_073776.1","RNA","RNA","ssRNA phage Gerhypos.2_22","Dugnivirus chthonadaptatum","Dugnivirus","Atkinsviridae",3944
"164","NC_078964.1","RNA","ssRNA(-)","Belem virus","Belem virus","Unknown","Peribunyaviridae",1400
"165","NC_079036.1","RNA","ssRNA(-)","Kowanyama virus","Kowanyama virus","Unknown","Peribunyaviridae",4671
"166","NC_032870.1","RNA","RNA","Hubei narna-like virus 23","Hubei narna-like virus 23","Unknown","Unknown",2247
"167","NC_036603.1","RNA","dsRNA","Rosellinia necatrix partitivirus 8","Rosellinia necatrix partitivirus 8","Unknown","Partitiviridae",2445
"168","NC_032212.1","RNA","ssRNA(+)","Fusarium langsethiae hypovirus 1","Epsilonhypovirus sinicum","Epsilonhypovirus","Hypoviridae",12839
"169","NC_073946.1","RNA","ssRNA(+)","ssRNA phage SRR6960549_3","Gahlovirus lutihabitans","Gahlovirus","Fiersviridae",3540
"170","NC_038615.1","RNA","dsRNA","Warrego virus","Warrego virus","Orbivirus","Sedoreoviridae",2845
"171","NC_040488.1","RNA","dsRNA","Colletotrichum fructicola chrysovirus 1","Betachrysovirus colletotrichi","Betachrysovirus","Chrysoviridae",2438
"172","NC_018449.1","RNA","ssRNA(+)","Papaya lethal yellowing virus","Papaya lethal yellowing virus","Sobemovirus","Solemoviridae",4145
"173","NC_032876.1","RNA","RNA","Shahe picorna-like virus 6","Shahe picorna-like virus 6","Unknown","Unknown",8831
"174","NC_055208.1","RNA","ssRNA(-)","Citrus chlorotic spot virus","Dichorhavirus citri","Dichorhavirus","Rhabdoviridae",6518
"175","NC_004039.1","RNA","ssRNA(+)","Potato virus A","Potato virus A","Potyvirus","Potyviridae",9585
"176","NC_048209.1","RNA","ssRNA(+)","Zambian malbrouck virus 1","Epsilonarterivirus zamalb","Epsilonarterivirus","Arteriviridae",15307
"177","NC_043431.1","RNA","ssRNA(-)","M'Poko virus","Orthobunyavirus mpokoense","Orthobunyavirus","Peribunyaviridae",955
"178","NC_025474.1","RNA","ssRNA(+)","Crohivirus A","Crohivirus A","Crohivirus","Picornaviridae",7321
"179","NC_035936.1","RNA","dsRNA","Grapevine Cabernet Sauvignon reovirus","Grapevine Cabernet Sauvignon reovirus","Unknown","Unknown",3781
"180","NC_010434.1","RNA","ssRNA(+)","Lolium latent virus","Lolium latent virus","Lolavirus","Alphaflexiviridae",7674
"181","NC_029573.1","RNA","ssRNA(-)","Emaravirus idaeobati","Emaravirus idaeobati","Emaravirus","Fimoviridae",1273
"182","NC_003681.1","RNA","ssRNA","Coleus blumei viroid 1","Coleus blumei viroid 1","Coleviroid","Pospiviroidae",248
"183","NC_025342.1","RNA","ssRNA(-)","Kolente virus","Ledantevirus kolente","Ledantevirus","Rhabdoviridae",11120
"184","NC_043388.1","RNA","ssRNA(+)","Stocky prune virus","Cheravirus pruni","Cheravirus","Secoviridae",2644
"185","NC_076472.1","RNA","ssRNA(-)","Yerba mate virus A","Cytorhabdovirus yerbamate","Cytorhabdovirus","Rhabdoviridae",14961
"186","NC_033839.1","RNA","ssRNA(+/-)","Tapara virus","Phlebovirus taparaense","Phlebovirus","Phenuiviridae",1823
"187","NC_077726.1","RNA","dsRNA","Maize rough dwarf virus","Maize rough dwarf virus","Fijivirus","Spinareoviridae",4502
"188","NC_007582.1","RNA","dsRNA","Chum salmon reovirus CS","Aquareovirus A","Aquareovirus","Spinareoviridae",3947
"189","NC_077019.1","RNA","ssRNA(+)","Botryosphaeria dothidea Ourmia-like virus","Botryosphaeria dothidea Ourmia-like virus","Unknown","Botourmiaviridae",2826
"190","NC_010489.1","RNA","ssRNA(+/-)","Tomato zonate spot virus","Orthotospovirus tomatozonae","Orthotospovirus","Tospoviridae",3279
"191","NC_073980.1","RNA","ssRNA(+)","ssRNA phage SRR5467090_4","Kirnavirus lutenecus","Kirnavirus","Fiersviridae",3901
"192","NC_033062.1","RNA","RNA","Hubei picorna-like virus 6","Hubei picorna-like virus 6","Unknown","Unknown",8747
"193","NC_073791.1","RNA","RNA","ssRNA phage Zoerhiza.3_1","Hysdruvirus tellurivicinum","Hysdruvirus","Atkinsviridae",4044
"194","NC_008300.1","RNA","ssRNA(+/-)","Melon yellow spot virus","Orthotospovirus meloflavi","Orthotospovirus","Tospoviridae",3232
"195","NC_033837.1","RNA","ssRNA(+/-)","Anhanga virus","Phlebovirus anhangaense","Phlebovirus","Phenuiviridae",1628
"196","NC_076522.1","RNA","dsRNA","Eriocheir sinensis reovirus","Eriocheir sinensis reovirus","Cardoreovirus","Sedoreoviridae",3722
"197","NC_073813.1","RNA","RNA","ssRNA phage Gerhypos.2_9","Moloevirus chthonenecus","Moloevirus","Atkinsviridae",3799
"198","NC_038723.1","RNA","ssRNA(-)","Bimiti virus","Bimiti orthobunyavirus","Orthobunyavirus","Peribunyaviridae",4423
"199","NC_074313.1","RNA","RNA","ssRNA phage Esthiorhiza.1_6","Gredihovirus neotellurenecus","Gredihovirus","Steitzviridae",4026
"200","NC_014413.1","RNA","ssRNA(+)","Oscivirus A2","Oscivirus A","Oscivirus","Picornaviridae",7678
"201","NC_029559.1","RNA","ssRNA(-)","Emaravirus idaeobati","Emaravirus idaeobati","Emaravirus","Fimoviridae",1365
"202","NC_038598.1","RNA","dsRNA","Lebombo virus","Lebombo virus","Orbivirus","Sedoreoviridae",1108
"203","NC_007242.1","RNA","dsRNA","Vicia cryptic virus","Vicia cryptic virus","Alphapartitivirus","Partitiviridae",1779
"204","NC_006213.1","RNA","ssRNA(+)","Human coronavirus OC43","Betacoronavirus 1","Betacoronavirus","Coronaviridae",30741
